titre,numéro,mots_clefs,catégorie
Une histoire bien épicée,15/11/2011,Poivre,
Worldwarweb WWW,15/10/2011,"Arpaglan, Nicolas
Sécurité informatique
Cyberterrorisme
Cyberguerre
Guerre de l'information",
Tempêtes maudites,15/10/2011,"Inondations -- Québec (Province) -- Bas-Saint-Laurent-Gaspésie
Erosion -- Québec (Province) -- Bas-Saint-Laurent-Gaspésie
Marées -- Québec (Province) -- Saint-Laurent, Estuaire du
Littoral -- Protection -- Québec (Province)
Saint-Laurent (Fleuve) -- Niveau des eaux",
Destination Proxima du Centaure,15/10/2011,"Icarus (Projet)
Propulsion nucléaire -- Recherche
Vaisseaux spatiaux -- Conception et construction
Espace extra-atmosphérique -- Exploration",
"Quand je serai plus là, qui va s'occuper de mes poissons?""""",15/10/2011,"Enfants -- Mort
Douleur -- Traitement
Souffrance
Enfants malades, Services aux -- Québec (Province)
Enfants -- Maladies -- Traitement
Enfants malades en phase terminale",
Du joug au jeu,15/10/2011,"Relations êtres humains-animal -- Québec (Province) -- Histoire
Chevaux -- Québec (Province) -- Histoire",
"Le call de l'orignal, version 2011",15/10/2011,"Appeaux
Chasse au petit gibier -- Matériel
Orignal -- Observation -- Québec (Province)",
L'adieu à l'amiante,15/08/2011,"Amiante -- Toxicologie
Amiante -- Mines et extraction
Construction, Travailleurs de la -- Québec (Province)
Amiante -- Industrie -- Québec (Province)",
Un robot dans mon étang,15/08/2011,"Dudek, Gregory
Robots sous-marins
Exploration sous-marine
Robotique -- Recherche -- Québec (Province)",
Du petit Brandy à McSleepy,15/08/2011,Anesthésie -- Histoire,
La campagne arrive en ville,15/08/2011,Agriculture urbaine -- Québec (Province) -- Montréal,
40 questions pour comprendre les grands changements d'aujourd'hui,15/08/2011,"Technologie -- Questions et réponses
Sciences -- Questions et réponses",
Le trou noir de la pêche arctique,15/08/2011,"Pauly, Daniel
Pêches -- Arctique",
La révolution biométrique,15/08/2011,"Identification biométrique
Identification des personnes
Droit à la vie privée
Surveillance électronique
Renseignements personnels -- Accès et protection",
Territoire de l'ambigu,15/08/2011,"Dorion, Henri
Territoire national -- Québec (Province)
Terre-Neuve-et-Labrador -- Frontières -- Québec (Province)
Québec (Province) -- Frontières -- Terre-Neuve-et-Labrador",
Kheops,15/06/2011,"Houdin, Jean-Pierre
Klein, Matthieu
Maldague, Xavier
Grande Pyramide (Égypte)
Pyramides -- Conception et construction
Pyramides -- Architecture -- Égypte
Caméras infrarouges
Thermographie
Rayonnement infrarouge -- Technique",
La mémoire du monarque,15/06/2011,"Papillons -- Orientation
Papillon monarque -- Migration",
Le retour des truites,15/06/2011,"Truite mouchetée -- Génétique
Truite mouchetée -- Québec (Province) -- Mauricie
Faune -- Réintroduction -- Québec (Province)",
Pour une médecine sans douleur,15/06/2011,"Lafrenaye, Sylvie
Douleur -- Traitement
Douleur -- Évaluation
Douleur chez l'enfant
Analgésiques -- Administration et prescription
Morphine -- Administration et prescription",
Compte rendu du livre Le plus grand spectacle du monde  de R. Dawkins ,15/06/2011,"Dawkins, Richard. Plus grand spectacle du monde",
Le long voyage du steak,15/06/2011,"Bovins -- Elevage -- Québec (Province)
Boeuf (Viande) -- Industrie et commerce -- Québec (Province)",
D'algues et d'eau fraîche,15/06/2011,"NutrOcean (Firme)
Aquaculture -- Innovations
Microalgues",
La chimie secrète du quotidien,15/06/2011,"Chimie industrielle -- Histoire
Produits chimiques
Découvertes scientifiques -- Histoire",
Le séisme au Japon a-t-il affecté notre planète?,15/06/2011,"Tremblement de terre et tsunami du Nord-Est, Japon, 2011
Tremblements de terre -- Japon
Terre -- Rotation",
Le paranormal en 6 leçons faciles,15/06/2011,"Suggestibilité
Parapsychologie
Occultisme
Spiritisme",
Le meurtre comme effet secondaire,15/06/2011,"Suicide -- Facteurs de risque
Criminels vivant avec un trouble de santé mentale
Personnes vivant avec un trouble de santé mentale violentes
Meurtres
Crimes violents -- Facteurs de risque
Antidépresseurs -- Effets secondaires",
"Demain, la forêt",15/04/2011,"Forêts -- Gestion -- Québec (Province)
Foresterie durable -- Québec (Province)
Forêts -- Recherche -- Québec (Province)",
Le prix du public Québec science 2010,15/04/2011,"Découvertes scientifiques -- Québec (Province)
Sciences -- Prix et récompenses -- Québec (Province)
Sciences -- Concours -- Québec (Province)
Année 2010",
L'homme dont le cerveau rétrécissait,15/04/2011,"Êtres humains -- Évolution
Cerveau -- Volume",
Les faussaires de la dissertation,15/04/2011,"Plagiat et tricherie en éducation -- Québec (Province)
Plagiat et tricherie en éducation -- Prévention
Plagiat et tricherie en éducation -- Ressources Internet
Fraude scientifique",
Les maisons aux pignons verts,15/04/2011,"Constructions écologiques -- Québec (Province)
Habitations -- Economies d'énergie -- Québec (Province)",
"A chaque malade, son traitement?",15/04/2011,"Mes-Masson, Anne-Marie
Cancer -- Traitement
Cancer -- Aspect génétique
Médecine personnalisée",
De Hollywood à Montréal,15/04/2011,"Cinéma -- Effets spéciaux -- Histoire
Cinéma -- Effets spéciaux -- Industrie -- Québec (Province)",
"Le péché, c'est capital!",15/03/2011,"Péchés capitaux
Comportement humain -- Aspect physiologique
Neuropsychologie",
Mystère dans la toundra,15/03/2011,"Caribous -- Populations -- Québec (Province) -- Nord-du-Québec
Espèces en danger -- Québec (Province) -- Nord-du-Québec",
La reine du compost,15/03/2011,"Compostage
Déchets organiques -- Récupération et recyclage -- Québec (Province) -- Victoriaville
Déchets organiques -- Collecte sélective -- Québec (Province) -- Victoriaville",
Des poissons dans les arbres,15/03/2011,"Cloutier, Richard
Sites paléontologiques -- Etats-Unis -- New York (Etat)
Paléobotanique -- Etats-Unis -- New York (Etat)
Paléobotanique -- Dévonien
Dents fossiles
Plantes fossiles",
Le martyre des gros,15/03/2011,"Obésité -- Epidémies
Perte de poids -- Histoire
Obésité -- Histoire",
"Demain, le symbionet",15/03/2011,"Rosnay, Joël de
Réalité augmentée
Interfaces utilisateurs (Informatique)
Évolution sociale
Cyberespace
Internet -- Aspect social",
Chasseurs d'astéroïdes,15/03/2011,"NEOSSat (Satellite artificiel)
Astéroïdes croisant la Terre
Satellites de télédétection -- Canada
Télédétection spatiale",
Destination Kuujjuaq,15/03/2011,"Lalande-Déry, Michelle
TransQuébec Express (Train)
Chemins de fer -- Québec (Province)
Transports ferroviaires -- Québec (Province)
Méga-projets -- Québec (Province)
Chemins de fer -- Conception et construction",
Docteur robot,15/03/2011,"Plante, Jean-Sébastien
Prostate -- Cancer -- Diagnostic
Robotique en médecine -- Innovations -- Québec (Province)
Prostate -- Cancer -- Traitement",
Par les yeux de l'autre,15/03/2011,"Jumeaux siamois -- Colombie-Britannique
Thalamus",
"L'arsenic, diète des extraterrestres?",15/03/2011,"Biologie moléculaire
Controverses scientifiques
Milieux extrêmes
Vie (Biologie) -- Philosophie
Systèmes biologiques
Arsenic
Mono, Lac (Etats-Unis)",
Une deuxième vie pour nos sapins,15/02/2011,"Arbres de Noël -- Récupération et recyclage
Arbres de Noël -- Aspect de l'environnement",
La vie en rose?,15/02/2011,"Labrie, Fernand
Vaginorm (Médicament)
DHEA (Hormone)
Ménopause -- Traitement
Troubles sexuels -- Traitement",
Les 10 découvertes de l'année,15/02/2011,Découvertes scientifiques -- Québec (Province),
La décennie en images,15/02/2011,"Années 2000-2009
Catastrophes
Découvertes scientifiques",
Les piliers de la géologie,15/02/2011,"Lyell, Charles
Géologie -- Histoire
Actualisme (Géologie)",
Les ondes du crime,15/02/2011,"Kalacska, Margaret
Charniers -- Télédétection
Spectromètres à infrarouge
Criminalité -- Répartition géographique
Criminologie -- Méthodologie",
Un cerveau heureux,15/12/2010,"Paquette, Vincent
Bonheur
Dépression -- Traitement
Psychothérapie
Cerveau et esprit
Pensée -- Aspect physiologique",
Les racines du bonheur,15/12/2010,"Vaillant, Georges
Bonheur
Adaptation (Psychologie)
Maturation (Psychologie)",
Allo les virus,15/12/2010,"Virus informatiques
Sécurité informatique
Téléphone intelligent -- Sécurité -- Mesures",
Joyeuse illusion,15/12/2010,"Leroux, Georges
Bonheur
Individu et société
Conformisme
Civilisation -- 21e siècle",
Une tête bien Net,15/12/2010,"Lecture sur écran
Lecture -- Aspect physiologique
Lecture, Psychologie de la",
Le vin,15/12/2010,"Bouteilles de vin -- Récupération et recyclage
Bouteilles de vin -- Aspect de l'environnement",
Les coccinelles de l'Etna,15/12/2010,"Ecologie des régions volcaniques -- Italie
Coccinelles -- Moeurs et comportement
Succession écologique
Indicateurs biologiques
Etna (Italie : Volcan)",
L'homme qui vend des canots aux Inuits,15/12/2010,"Canots de sauvetage -- Québec (Province)
Canots de sauvetage -- Innovations",
Peut-on prévoir les séismes?,15/12/2010,"Conduction électrique
Sismométrie
Tremblements de terre -- Prévision
Risques sismiques",
Le tour de Babel,15/12/2010,"Babel, Louis
Missionnaires -- Suisse -- Biographies
Expéditions scientifiques -- Québec (Nord-Est) -- Histoire
Religieux -- Suisse -- Biographies
Canada -- Découverte et exploration",
"1, 2, 3... bébés?",15/11/2010,"Grossesse multiple -- Québec (Province)
Procréation médicalement assistée
Néonatologie -- Aspect moral
Procréation médicalement assistée -- Politique gouvernementale -- Québec (Province)
Grossesse -- Complications",
Sur la piste de l'avion vert,15/11/2010,"Avions -- Québec (Province)
Avions -- Conception et construction
Avions de transport -- Carburants -- Consommation
Transports aériens -- Aspect de l'environnement
Aéronautique -- Recherche -- Québec (Province)",
Des garçons sur le carreau,15/11/2010,"Maladies mentales chez les adolescents -- Diagnostic
Maladies mentales chez l'enfant -- Diagnostic
Echecs scolaires -- Prévention -- Québec (Province)
Succès scolaire -- Québec (Province) -- Différences entre sexes
Garçons -- Éducation -- Québec (Province)
Élèves ayant des troubles de comportement -- Éducation
Élèves en difficulté d'apprentissage -- Éducation",
Un monde en soie,15/11/2010,"Vers à soie -- Génie génétique
Sériciculture -- Chine -- Histoire
Soie -- Industrie et commerce -- Histoire
Vers à soie (Animaux de laboratoire)",
Le gaz de la discorde [du sous-sol québécois],15/11/2010,"Fox, Josh
Gasland (Film : Etats-Unis)
Gaz naturel -- Exploitation -- Québec (Province)
Fracturation hydraulique
Gaz naturel -- Exploitation -- Aspect de l'environnement
Gaz de schiste
Films documentaires américains
Gaz naturel -- Prospection -- Aspect de l'environnement
Gaz naturel -- Exploitation -- Alberta",
Comme un homard,15/11/2010,"Balavoine, Guillaume
Morphogenèse -- Aspect génétique
Segmentation (Biologie)
Évolution (Biologie)
Symétrie (Biologie)
Embryogenèse -- Aspect génétique",
Un design emballant,15/11/2010,"Écoconception
Emballages -- Aspect de l'environnement",
Des fous dans le pétrole,15/10/2010,"International Birds Rescue Research (Organisme)
Animaux -- Sauvetage -- Mexique, Golfe du
Oiseaux -- Effets de la pollution de l'eau sur -- Mexique, Golfe du
Plateformes de forage -- Accidents -- Mexique, Golfe du
Déversements de pétrole -- Aspect de l'environnement
Fou de Bassan -- Québec (Province) -- Bonaventure, Ile
Déversements de pétrole -- Mexique, Golfe du",
Des cités sous la mer,15/10/2010,"Confinement -- Aspect psychologique
Villes sous-marines
Construction sous-marine",
Sale histoire,15/10/2010,"Pollution des mers -- Histoire
Déversements de pétrole -- Histoire
Déversements de pétrole, Lutte contre les",
Après la marée noire...,15/10/2010,"Pollution des mers
Déversements de pétrole -- Aspect de l'environnement",
Au bonheur des curieux,15/10/2010,"Curiosité -- Aspect physiologique
Bonheur
Curiosité
Anxiété
Intelligence
Dopamine",
Canonisé par la science,15/10/2010,"Saints chrétiens -- Québec (Province)
Canonisation
Eglise catholique et miracles
Guérison par la foi",
Que faire des feuilles mortes?,15/10/2010,"Dépotoirs -- Aspect de l'environnement
Feuilles d'automne -- Récupération et recyclage
Feuilles d'automne -- Aspect de l'environnement -- Québec (Province)
Compostage",
Laissez-les vivre!,15/08/2010,"Turmel, André
Enfants -- Développement
Normes sociales",
Bien attachés!,15/08/2010,"Lemay, Michel
Attachement
Attachement, Troubles de l'",
Promenons-nous dans les bois,15/08/2010,"Ecole primaire Enfants de la Terre (Waterville, Québec)
Ecoles primaires -- Québec (Province) -- Waterville
Loisirs de plein air -- Aspect de la santé
Enfants -- Loisirs",
Guide de survie pour parents d'aujourd'hui,15/08/2010,"Éducation des enfants
Parents et enfants
Enfants -- Discipline",
Il était une fois,15/08/2010,"Famille -- Histoire -- Chronologie
Enfance -- Histoire -- Chronologie
Education des enfants -- Histoire -- Chronologie",
C'est pas des bonbons!,15/08/2010,"Hôpital Sainte-Justine (Montréal, Québec)
Pharmacologie pédiatrique
Pharmacovigilance -- Québec (Province)",
Alerte au stress,15/08/2010,"Stress chez l'enfant -- Québec (Province)
Stress -- Aspect physiologique",
Partir du bon pied,15/08/2010,"Garderie Abinodjic Miguam (Val-d'Or, Québec)
Enfants en garderie -- Psychologie
Enfants -- Développement -- Québec (Province)
Gardiennage d'enfants -- Aspect psychologique",
Je me souviens,15/08/2010,"Souvenir
Mémoire, Troubles de la, chez les personnes âgées
Personnes âgées -- Soins en institution",
Marmots 2.0,15/08/2010,"Enfants -- Développement
Tout-petits (Enfants) -- Psychologie
Bébés -- Psychologie
Télévision et enfants
Plasticité neuronale
Attention, Troubles de l'",
Pas si égoïste!,15/08/2010,"Empathie
Empathie -- Aspect physiologique",
A quoi pensent les bébés,15/08/2010,"Gopnik, Alison
Bébés -- Psychologie
Plasticité neuronale
Cerveau -- Développement
Intelligence -- Développement",
"Quand j'avais cinq ans, la terre a tremblé",15/08/2010,"Secours aux victimes de catastrophes -- Québec (Province) -- Montréal
Victimes de catastrophes -- Haïti
Enfants victimes de catastrophes -- Santé mentale
Traumatisme psychique chez l'enfant",
